Country,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name,#_x,"Population
(2024)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share",#_y,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP",Calculated Density (P/Km²)
Turkey,,,,18.0,87473805.0,0.23 %,"203,304",114,769630.0,"-275,952",1.6,33.0,76 %,1.07 %,19.0,"$905,988,000,000",$906 billion,5.57%,"87,058,473","$10,407",0.90%,113.65695853851851
South Korea,,,,29.0,51717590.0,-0.06 %,"-31,149",532,97230.0,"75,963",0.7,45.0,82 %,0.63 %,13.0,"$1,665,250,000,000",$1.665 trillion,2.56%,"51,782,512","$32,159",1.66%,531.9098015015942
Yemen,,,,37.0,40583164.0,3.03 %,"1,192,365",77,527970.0,"-10,482",4.5,18.0,33 %,0.50 %,,,,,,,,76.86642044055533
Côte d'Ivoire,,,,50.0,31934230.0,2.47 %,"768,576",100,318000.0,"7,838",4.2,18.0,49 %,0.39 %,80.0,"$70,018,715,017",$70.02 billion,6.74%,"30,395,002","$2,304",0.07%,100.422106918239
Venezuela,,,,53.0,28405543.0,0.37 %,"104,689",32,882050.0,"-105,297",2.1,29.0,N.A.,0.35 %,,,,,,,,32.204005441868375
North Korea,,,,56.0,26498823.0,0.31 %,"80,619",220,120410.0,"-2,473",1.8,36.0,63 %,0.32 %,,,,,,,,220.07161365335105
Syria,,,,57.0,24672760.0,4.57 %,"1,078,137",134,183630.0,"546,494",2.7,23.0,53 %,0.30 %,,,,,,,,134.3612699449981
Taiwan,,,,60.0,23213962.0,-0.44 %,"-103,183",656,35410.0,"-25,832",0.9,44.0,83 %,0.28 %,,,,,,,,655.5764473312623
Czech Republic (Czechia),,,,89.0,10735859.0,-0.68 %,"-73,857",139,77240.0,"-86,169",1.5,43.0,74 %,0.13 %,46.0,"$290,924,000,000",$291 billion,2.46%,"10,673,213","$27,257",0.29%,138.99351372345936
Laos,,,,103.0,7769819.0,1.37 %,"104,826",34,230800.0,"-10,284",2.4,25.0,38 %,0.10 %,126.0,"$15,724,383,783",$15.72 billion,2.71%,"7,559,007","$2,080",0.02%,33.66472703639515
Hong Kong,,,,105.0,7414909.0,-0.37 %,"-27,825","7,062",1050.0,"-19,272",0.7,47.0,N.A.,0.09 %,42.0,"$359,839,000,000",$360 billion,-3.48%,"7,465,915","$48,198",0.36%,7061.818095238095
Kyrgyzstan,,,,107.0,7186009.0,1.59 %,"112,493",37,191800.0,"3,645",2.8,25.0,35 %,0.09 %,141.0,"$10,930,644,915",$10.93 billion,7.02%,"6,955,788","$1,571",0.01%,37.466157455683
Congo,,,,113.0,6332961.0,2.43 %,"150,076",19,341500.0,"-2,491",4.1,18.0,69 %,0.08 %,130.0,"$14,615,532,210",$14.62 billion,1.55%,"6,035,104","$2,422",0.01%,18.544541727672033
Slovakia,,,,120.0,5506760.0,-0.20 %,"-11,295",115,48088.0,"-21,027",1.6,42.0,54 %,0.07 %,61.0,"$115,469,000,000",$115 billion,1.67%,"5,473,197","$21,097",0.11%,114.51422392280818
State of Palestine,,,,121.0,5495443.0,1.59 %,"86,241",913,6020.0,"-23,145",3.3,20.0,83 %,0.07 %,116.0,"$19,111,900,000",$19.11 billion,3.93%,"5,305,270","$3,602",0.02%,912.8642857142858
Gambia,,,,144.0,2759988.0,2.30 %,"62,143",273,10120.0,"-2,989",3.9,18.0,60 %,0.03 %,160.0,"$2,273,060,863",$2.27 billion,4.92%,"2,636,470",$862,0.00%,272.7260869565217
Réunion,,,,162.0,878591.0,0.42 %,"3,708",351,2500.0,"-2,931",2.2,38.0,N.A.,0.01 %,,,,,,,,351.4364
Macao,,,,167.0,720262.0,0.89 %,"6,350","24,009",30.0,"1,620",0.7,39.0,96 %,0.01 %,109.0,"$21,979,475,561",$21.98 billion,-26.76%,"704,356","$31,205",0.02%,24008.733333333334
Western Sahara,,,,171.0,590506.0,1.86 %,"10,777",2,266000.0,"5,358",2.2,32.0,97 %,0.01 %,,,,,,,,2.2199473684210527
Micronesia,,,,174.0,526923.0,0.32 %,"1,683",753,700.0,"-5,076",2.8,26.0,75 %,0.01 %,174.0,"$427,094,119",$427 million,-0.62%,"523,477",$816,0.00%,752.7471428571429
Brunei,,,,176.0,462721.0,0.82 %,"3,772",88,5270.0,0,1.7,32.0,80 %,0.01 %,125.0,"$16,681,531,646",$16.68 billion,-1.63%,"455,370","$36,633",0.02%,87.80284629981024
Bahamas,,,,178.0,401283.0,0.46 %,"1,843",40,10010.0,"1,018",1.4,35.0,88 %,0.00 %,137.0,"$12,897,400,000",$12.90 billion,14.37%,"397,538","$32,443",0.01%,40.08821178821179
Guadeloupe,,,,180.0,375106.0,-0.37 %,"-1,411",222,1690.0,"-1,765",2.1,47.0,N.A.,0.00 %,,,,,,,,221.95621301775148
Martinique,,,,181.0,343195.0,-0.81 %,"-2,807",324,1060.0,"-2,744",2.0,49.0,N.A.,0.00 %,,,,,,,,323.7688679245283
Mayotte,,,,183.0,326505.0,3.32 %,"10,490",871,375.0,108,4.6,17.0,42 %,0.00 %,,,,,,,,870.68
French Guiana,,,,184.0,308522.0,1.69 %,"5,120",4,82200.0,"-1,018",3.3,25.0,94 %,0.00 %,,,,,,,,3.75330900243309
Sao Tome & Principe,,,,188.0,235536.0,2.02 %,"4,665",245,960.0,-604,3.6,19.0,78 %,0.00 %,173.0,"$546,680,342",$547 million,0.93%,"226,305","$2,416",0.00%,245.35
Curaçao,,,,190.0,185482.0,0.03 %,55,418,444.0,513,1.1,38.0,80 %,0.00 %,,,,,,,,417.7522522522523
Saint Lucia,,,,191.0,179744.0,0.26 %,459,295,610.0,-7,1.4,34.0,20 %,0.00 %,161.0,"$2,065,027,556",$2.07 billion,15.40%,"178,781","$11,551",0.00%,294.6622950819672
St. Vincent & Grenadines,,,,198.0,100616.0,-0.70 %,-707,258,390.0,-737,1.8,34.0,61 %,0.00 %,170.0,"$948,558,503",$949 million,4.95%,"102,046","$9,295",0.00%,257.98974358974357
U.S. Virgin Islands,,,,200.0,84905.0,-0.93 %,-796,243,350.0,-420,2.1,45.0,N.A.,0.00 %,,,,,,,,242.5857142857143
Faeroe Islands,,,,207.0,55400.0,1.25 %,686,40,1396.0,488,2.2,37.0,40 %,0.00 %,,,,,,,,39.684813753581665
Saint Kitts & Nevis,,,,208.0,46843.0,0.18 %,85,180,260.0,-7,1.5,36.0,39 %,0.00 %,169.0,"$961,563,259",$962 million,9.00%,"46,709","$20,586",0.00%,180.16538461538462
Turks and Caicos,,,,210.0,46535.0,0.73 %,337,49,950.0,176,1.5,39.0,79 %,0.00 %,,,,,,,,48.98421052631579
Sint Maarten,,,,212.0,43350.0,1.41 %,601,"1,275",34.0,558,1.4,42.0,100 %,0.00 %,,,,,,,,1275.0
Caribbean Netherlands,,,,219.0,30675.0,2.60 %,777,94,328.0,685,1.5,40.0,66 %,0.00 %,,,,,,,,93.52134146341463
Saint Martin,,,,220.0,26129.0,-5.04 %,"-1,386",493,53.0,"-1,424",2.7,41.0,0 %,0.00 %,,,,,,,,493.0
Anguilla,,,,222.0,14598.0,1.30 %,188,162,90.0,109,1.4,38.0,N.A.,0.00 %,,,,,,,,162.2
Cook Islands,,,,223.0,13729.0,-3.47 %,-493,57,240.0,-505,2.0,36.0,98 %,0.00 %,,,,,,,,57.204166666666666
Wallis & Futuna,,,,225.0,11277.0,-0.82 %,-93,81,140.0,-93,1.4,38.0,0 %,0.00 %,,,,,,,,80.55
Saint Barthelemy,,,,226.0,11258.0,1.56 %,173,536,21.0,180,0.8,39.0,0 %,0.00 %,,,,,,,,536.0952380952381
Saint Pierre & Miquelon,,,,228.0,5628.0,-0.93 %,-53,24,230.0,-2,1.3,47.0,N.A.,0.00 %,,,,,,,,24.469565217391306
Saint Helena,,,,229.0,5237.0,-0.98 %,-52,13,390.0,4,1.6,51.0,33 %,0.00 %,,,,,,,,13.428205128205128
Montserrat,,,,230.0,4389.0,-0.70 %,-31,44,100.0,-7,1.4,42.0,11 %,0.00 %,,,,,,,,43.89
Falkland Islands,,,,231.0,3470.0,-0.20 %,-7,0,12170.0,-13,1.7,42.0,68 %,0.00 %,,,,,,,,0.28512736236647496
Tokelau,,,,232.0,2506.0,4.55 %,109,251,10.0,72,2.6,27.0,0 %,0.00 %,,,,,,,,250.6
Niue,,,,233.0,1819.0,0.11 %,2,7,260.0,10,2.5,36.0,44 %,0.00 %,,,,,,,,6.996153846153846
Holy See,,,,234.0,496.0,0.00 %,0,"1,240",0.0,18,1.0,59.0,N.A.,0.00 %,,,,,,,,inf
